book_id,user_id,rating
1,3662,4
1,5379,5
1,5461,3
1,6630,5
1,10146,5
1,10335,4
1,10944,5
1,13282,5
1,13544,5
1,15494,5
1,17984,5
1,18031,5
1,21228,5
1,21487,4
1,23576,4
1,25164,4
1,26145,4
1,26629,4
1,28767,5
1,29123,3
1,30681,5
1,37284,5
1,42404,5
1,47746,5
1,49298,4
1,50104,5
1,51480,1
2,3922,5
2,5885,4
2,6342,3
2,8167,2
2,9731,4
2,10140,3
2,10288,5
2,10610,5
2,11691,4
2,11868,5
2,12874,4
2,12946,5
2,19526,4
2,19724,5
2,21228,4
2,22602,4
2,26145,4
2,26629,4
2,32055,4
2,32305,5
2,32635,4
2,37834,4
2,45269,4
2,45493,5
2,48482,5
2,52036,3
3,5272,5
3,10246,1
3,10509,1
3,10751,1
3,11408,3
3,13274,5
3,13282,5
3,17434,4
3,17663,4
3,20076,3
3,20782,4
3,20848,4
3,21228,3
3,21733,1
3,22602,3
3,23576,1
3,24389,3
3,26629,4
3,32305,1
3,33065,1
3,36099,4
3,37284,1
3,38080,5
3,38475,3
3,43602,4
3,43985,2
3,46977,2
3,48687,1
3,49295,5
3,50133,5
4,439,5
4,1169,5
4,3739,5
4,8178,5
4,10140,4
4,11868,3
4,11945,5
4,12946,5
4,13776,4
4,13794,4
4,14603,5
4,17643,5
4,17663,5
4,19724,5
4,20467,4
4,21228,3
4,21733,5
4,23576,5
4,25164,5
4,25182,5
4,25840,3
4,26579,3
4,27499,5
4,27934,4
4,28767,5
4,30313,5
4,30944,5
4,32338,4
4,32748,5
4,36099,5
4,37834,4
4,39423,5
4,45269,5
4,47800,5
4,50102,5
4,51460,5
4,53245,5
4,53292,5
5,2324,5
5,8167,4
5,10944,3
5,11945,4
5,13776,4
5,14603,4
5,19526,4
5,19729,4
5,20406,5
5,21487,5
5,22602,5
5,26629,5
5,27834,4
5,28158,4
5,30681,3
5,32748,4
5,42404,3
5,44397,5
5,46421,5
5,49298,2
5,50104,5
5,51166,4
5,51838,4
6,173,5
6,314,5
6,725,5
6,2077,2
6,5379,5
6,6016,5
6,8612,4
6,11691,3
6,16913,5
6,17405,4
6,18316,5
6,18957,5
6,20782,4
6,21228,4
6,22212,4
6,22534,3
6,26244,5
6,28831,4
6,29031,4
6,29644,5
6,30601,5
6,32419,4
6,32635,5
6,34531,4
6,37041,3
6,50104,5
6,50610,3
6,53145,5
7,951,5
7,5115,4
7,6063,4
7,6630,5
7,6634,4
7,7001,3
7,7563,4
7,8167,3
7,10140,4
7,10509,2
7,10944,5
7,11285,3
7,11408,2
7,11692,4
7,11868,1
7,12455,1
7,13034,4
7,13282,1
7,15604,3
7,16913,3
7,17566,4
7,17643,3
7,17663,4
7,22164,4
7,23576,1
7,24845,5
7,28767,2
7,32055,3
7,37690,4
7,38798,3
7,38865,5
7,40126,4
7,53292,5
8,2324,5
8,2900,3
8,6630,4
8,11285,3
8,11691,5
8,13034,4
8,13794,2
8,14192,4
8,14207,4
8,18313,1
8,19724,3
8,21487,3
8,24499,3
8,25182,5
8,26579,3
8,27499,3
8,27834,4
8,28158,3
8,30944,3
8,32338,3
8,32745,4
8,33065,3
8,33872,4
8,36695,4
8,38798,4
8,39423,3
8,43985,3
8,46139,3
8,47730,5
8,49295,5
8,50101,5
8,50102,5
8,50133,5
9,588,3
9,951,1
9,4536,3
9,6063,3
9,8484,5
9,11691,3
9,12466,1
9,13794,2
9,13991,4
9,15494,3
9,17984,4
9,18857,3
9,24389,4
9,24499,2
9,24834,5
9,24845,4
9,25214,3
9,26398,5
9,27834,4
9,28767,3
9,32748,5
9,32918,5
9,33697,2
9,36099,4
9,36695,4
9,38865,3
9,41074,3
9,42508,3
9,43622,3
9,44243,4
9,50104,5
10,3922,5
10,4536,2
10,5115,4
10,6063,1
10,6630,3
10,7001,4
10,10111,5
10,10249,4
10,11692,5
10,11854,4
10,12471,5
10,12946,5
10,13991,4
10,14192,4
10,14248,5
10,17643,1
10,19526,4
10,19942,5
10,21487,5
10,21676,5
10,22164,5
10,25164,4
10,26145,4
10,27834,5
10,27934,5
10,32338,3
10,32748,4
10,49297,5
10,50102,5
10,51838,4
10,53292,5
11,439,4
11,4536,4
11,6063,4
11,6342,5
11,6630,4
11,7001,5
11,9246,5
11,9771,5
11,10111,5
11,10140,4
11,11927,2
11,12381,4
11,12874,5
11,12946,5
11,14248,4
11,14546,5
11,17663,5
11,17984,4
11,18031,4
11,18361,4
11,19526,4
11,20848,5
11,21217,3
